,pop_size,pop_type,pop_infected,n_days,vaccine_type,use_waning,cum_infections,cum_deaths,cum_recoveries,cum_vaccinations,cum_vaccinated,rand_seed,target_elderly,vaccine,max_doses
control_0,50000,hybrid,1000,50,pfizer,True,4034.0,11.0,4000.0,149992.0,50000.0,5453,False,0,2
control_1,50000,hybrid,1000,50,pfizer,True,4006.0,21.0,3960.0,149990.0,50000.0,8002,False,0,2
control_2,50000,hybrid,1000,50,pfizer,True,3968.0,19.0,3923.0,149990.0,50000.0,1214,False,0,2
control_3,50000,hybrid,1000,50,pfizer,True,4410.0,24.0,4336.0,149986.0,50000.0,5021,False,0,2
control_4,50000,hybrid,1000,50,pfizer,True,4160.0,15.0,4102.0,149993.0,50000.0,9456,False,0,2
control_5,50000,hybrid,1000,50,pfizer,True,4261.0,18.0,4209.0,149991.0,50000.0,1130,False,0,2
control_6,50000,hybrid,1000,50,pfizer,True,4162.0,13.0,4120.0,149994.0,50000.0,2110,False,0,2
control_7,50000,hybrid,1000,50,pfizer,True,4169.0,17.0,4127.0,149992.0,50000.0,4978,False,0,2
control_8,50000,hybrid,1000,50,pfizer,True,4197.0,12.0,4160.0,149992.0,50000.0,2381,False,0,2
control_9,50000,hybrid,1000,50,pfizer,True,4408.0,9.0,4366.0,149993.0,50000.0,7062,False,0,2
control_10,50000,hybrid,1000,50,pfizer,True,4448.0,17.0,4390.0,149992.0,50000.0,567,False,0,2
control_11,50000,hybrid,1000,50,pfizer,True,4297.0,23.0,4244.0,149991.0,50000.0,7373,False,0,2
control_12,50000,hybrid,1000,50,pfizer,True,4079.0,22.0,4024.0,149991.0,50000.0,7729,False,0,2
control_13,50000,hybrid,1000,50,pfizer,True,4154.0,12.0,4111.0,149993.0,50000.0,5016,False,0,2
control_14,50000,hybrid,1000,50,pfizer,True,4144.0,15.0,4098.0,149992.0,50000.0,4108,False,0,2
control_15,50000,hybrid,1000,50,pfizer,True,4308.0,19.0,4250.0,149986.0,50000.0,6798,False,0,2
control_16,50000,hybrid,1000,50,pfizer,True,4509.0,21.0,4458.0,149987.0,50000.0,2108,False,0,2
control_17,50000,hybrid,1000,50,pfizer,True,4144.0,18.0,4095.0,149989.0,50000.0,6061,False,0,2
control_18,50000,hybrid,1000,50,pfizer,True,4077.0,17.0,4033.0,149994.0,50000.0,79,False,0,2
control_19,50000,hybrid,1000,50,pfizer,True,4363.0,17.0,4308.0,149990.0,50000.0,3632,False,0,2
control_20,50000,hybrid,1000,50,pfizer,True,4445.0,16.0,4397.0,149994.0,50000.0,7558,False,0,2
control_21,50000,hybrid,1000,50,pfizer,True,4436.0,18.0,4367.0,149993.0,50000.0,3347,False,0,2
control_22,50000,hybrid,1000,50,pfizer,True,4093.0,12.0,4050.0,149997.0,50000.0,9058,False,0,2
control_23,50000,hybrid,1000,50,pfizer,True,4600.0,18.0,4541.0,149994.0,50000.0,8687,False,0,2
control_24,50000,hybrid,1000,50,pfizer,True,4187.0,16.0,4139.0,149990.0,50000.0,9987,False,0,2
control_25,50000,hybrid,1000,50,pfizer,True,4452.0,20.0,4402.0,149988.0,50000.0,3994,False,0,2
control_26,50000,hybrid,1000,50,pfizer,True,4266.0,17.0,4213.0,149996.0,50000.0,8750,False,0,2
control_27,50000,hybrid,1000,50,pfizer,True,4011.0,10.0,3965.0,149996.0,50000.0,1374,False,0,2
control_28,50000,hybrid,1000,50,pfizer,True,4144.0,21.0,4089.0,149991.0,50000.0,7683,False,0,2
control_29,50000,hybrid,1000,50,pfizer,True,4167.0,17.0,4118.0,149994.0,50000.0,1064,False,0,2
treatment_0,50000,hybrid,1000,50,pfizer,True,6268.0,13.0,6167.0,635537.0,536650.0,7572,True,1,2
treatment_1,50000,hybrid,1000,50,pfizer,True,6542.0,25.0,6459.0,629822.0,531057.0,7026,True,1,2
treatment_2,50000,hybrid,1000,50,pfizer,True,7188.0,25.0,7065.0,633773.0,535014.0,4364,True,1,2
treatment_3,50000,hybrid,1000,50,pfizer,True,7096.0,19.0,6986.0,632485.0,533696.0,7177,True,1,2
treatment_4,50000,hybrid,1000,50,pfizer,True,6772.0,14.0,6679.0,634433.0,535641.0,6801,True,1,2
treatment_5,50000,hybrid,1000,50,pfizer,True,6674.0,20.0,6582.0,633878.0,535067.0,8697,True,1,2
treatment_6,50000,hybrid,1000,50,pfizer,True,6253.0,21.0,6158.0,632354.0,533546.0,4027,True,1,2
treatment_7,50000,hybrid,1000,50,pfizer,True,7045.0,19.0,6946.0,627278.0,528534.0,7792,True,1,2
treatment_8,50000,hybrid,1000,50,pfizer,True,6989.0,25.0,6872.0,636023.0,537273.0,7898,True,1,2
treatment_9,50000,hybrid,1000,50,pfizer,True,6837.0,18.0,6757.0,632233.0,533391.0,3216,True,1,2
treatment_10,50000,hybrid,1000,50,pfizer,True,6973.0,15.0,6846.0,630586.0,531783.0,2368,True,1,2
treatment_11,50000,hybrid,1000,50,pfizer,True,7168.0,21.0,7053.0,632666.0,533895.0,3482,True,1,2
treatment_12,50000,hybrid,1000,50,pfizer,True,6468.0,15.0,6378.0,629361.0,530624.0,1617,True,1,2
treatment_13,50000,hybrid,1000,50,pfizer,True,6486.0,14.0,6393.0,632285.0,533561.0,5474,True,1,2
treatment_14,50000,hybrid,1000,50,pfizer,True,6867.0,16.0,6753.0,629446.0,530735.0,6560,True,1,2
treatment_15,50000,hybrid,1000,50,pfizer,True,6881.0,17.0,6776.0,630587.0,531856.0,3554,True,1,2
treatment_16,50000,hybrid,1000,50,pfizer,True,6736.0,20.0,6620.0,634708.0,535952.0,7666,True,1,2
treatment_17,50000,hybrid,1000,50,pfizer,True,7041.0,18.0,6923.0,629554.0,530858.0,9763,True,1,2
treatment_18,50000,hybrid,1000,50,pfizer,True,6933.0,20.0,6833.0,635624.0,536812.0,5110,True,1,2
treatment_19,50000,hybrid,1000,50,pfizer,True,6464.0,12.0,6359.0,631249.0,532481.0,7160,True,1,2
treatment_20,50000,hybrid,1000,50,pfizer,True,6255.0,15.0,6172.0,631289.0,532495.0,1583,True,1,2
treatment_21,50000,hybrid,1000,50,pfizer,True,6918.0,23.0,6805.0,633751.0,535054.0,8018,True,1,2
treatment_22,50000,hybrid,1000,50,pfizer,True,6821.0,19.0,6732.0,632270.0,533496.0,2769,True,1,2
treatment_23,50000,hybrid,1000,50,pfizer,True,6435.0,21.0,6338.0,632082.0,533270.0,3732,True,1,2
treatment_24,50000,hybrid,1000,50,pfizer,True,7154.0,18.0,7041.0,632367.0,533477.0,8402,True,1,2
treatment_25,50000,hybrid,1000,50,pfizer,True,6823.0,19.0,6726.0,630230.0,531452.0,5415,True,1,2
treatment_26,50000,hybrid,1000,50,pfizer,True,6811.0,15.0,6727.0,634216.0,535607.0,157,True,1,2
treatment_27,50000,hybrid,1000,50,pfizer,True,6809.0,14.0,6701.0,628015.0,529239.0,2047,True,1,2
treatment_28,50000,hybrid,1000,50,pfizer,True,6895.0,14.0,6797.0,633312.0,534536.0,3985,True,1,2
treatment_29,50000,hybrid,1000,50,pfizer,True,6111.0,23.0,6030.0,631852.0,532996.0,6358,True,1,2
